Monthly_Income_M,Credit_Score,Loan_Amount_M,Work_Experience_Years,Has_Prior_Default,DTI_Ratio,Approved
20.8,641,325,7.6,0,0.547,0
68.3,493,182,1.4,0,0.093,1
26.8,753,264,6.2,0,0.345,1
93.6,695,162,7.0,0,0.061,1
15.0,604,240,1.8,0,0.56,0
92.3,831,199,5.5,0,0.075,1
59.6,677,389,6.9,0,0.228,1
52.9,582,493,3.8,1,0.326,0
43.0,743,103,2.5,0,0.084,1
63.8,704,48,5.8,0,0.026,1
54.2,704,233,22.9,0,0.15,1
79.3,634,93,3.3,0,0.041,1
57.5,708,265,3.0,0,0.161,1
58.3,648,342,3.7,0,0.205,1
47.0,717,424,0.5,0,0.316,1
53.7,508,282,4.8,0,0.184,1
61.8,633,239,2.4,0,0.135,1
17.4,816,42,0.8,0,0.084,1
25.3,605,263,3.8,0,0.364,0
71.4,619,268,0.0,0,0.131,1
58.8,632,330,3.1,0,0.196,1
51.0,567,182,0.7,0,0.125,1
55.4,482,212,0.1,0,0.134,1
62.6,650,97,10.4,0,0.054,1
43.1,682,40,14.9,0,0.032,1
37.9,666,138,1.4,0,0.127,1
59.3,658,87,4.7,0,0.051,1
33.5,674,297,2.0,0,0.31,1
64.0,757,203,4.1,0,0.111,1
17.5,654,201,3.4,0,0.402,0
77.6,621,152,1.9,1,0.069,0
65.4,646,40,7.2,0,0.021,1
60.6,719,426,0.8,0,0.246,1
76.6,790,150,0.3,0,0.069,1
91.6,617,215,8.8,1,0.082,0
77.3,678,100,6.6,0,0.045,1
15.0,699,367,4.1,0,0.856,0
26.8,586,276,3.8,0,0.36,0
41.3,672,169,4.1,0,0.143,1
55.6,545,217,3.4,0,0.137,1
66.4,520,445,3.0,0,0.235,1
39.0,701,252,4.2,0,0.226,1
59.1,637,240,4.5,0,0.142,1
38.4,687,156,7.1,0,0.142,1
41.5,668,52,7.5,1,0.044,0
24.1,587,242,2.8,0,0.351,0
34.7,666,296,3.2,0,0.299,1
25.3,565,381,2.8,0,0.527,0
33.5,788,40,4.6,0,0.042,1
78.2,555,136,3.6,0,0.061,1
34.1,653,196,13.2,0,0.201,1
112.9,581,260,7.2,0,0.081,1
65.9,718,244,13.7,0,0.13,1
59.1,642,247,7.4,0,0.146,1
36.1,626,305,21.2,0,0.296,1
70.4,743,161,6.1,1,0.08,0
42.3,673,363,19.9,0,0.3,1
57.7,714,308,1.0,0,0.187,1
111.3,587,225,0.3,0,0.071,1
52.9,551,436,5.2,0,0.288,1
80.3,679,431,24.6,0,0.188,1
39.5,643,363,3.2,0,0.322,1
54.2,723,40,1.4,0,0.026,1
94.0,663,434,4.4,0,0.162,1
41.2,687,347,6.3,0,0.295,1
94.9,532,481,2.3,1,0.177,0
70.6,831,396,7.5,0,0.196,1
42.6,656,434,22.2,0,0.357,1
68.9,729,357,13.6,0,0.181,1
76.4,599,408,2.1,0,0.187,1
68.7,696,479,2.4,0,0.244,1
20.5,559,284,2.8,0,0.485,0
39.0,708,87,3.0,0,0.078,1
49.6,640,226,0.6,0,0.159,1
53.4,672,303,8.6,0,0.199,1
68.7,729,268,2.7,1,0.137,0
58.9,565,123,12.7,0,0.073,1
25.6,612,81,15.7,0,0.111,1
63.4,709,178,0.1,0,0.098,1
68.4,848,349,26.8,0,0.179,1
67.3,658,434,7.4,0,0.226,1
78.8,720,361,4.4,0,0.16,1
73.3,661,376,3.0,0,0.18,1
65.1,835,251,4.4,0,0.135,1
53.5,521,68,2.4,0,0.044,1
18.5,678,210,5.8,0,0.397,1
64.5,532,232,0.6,0,0.126,1
59.6,457,205,5.8,0,0.12,1
61.0,695,266,1.9,0,0.153,1
26.9,682,309,0.1,0,0.402,1
31.2,646,354,4.8,0,0.397,1
78.2,661,229,5.2,0,0.102,1
54.1,850,51,3.3,0,0.033,1
70.0,648,207,0.5,0,0.104,1
55.6,713,265,13.4,0,0.167,1
55.7,615,395,5.7,0,0.248,1
75.6,695,198,0.7,0,0.092,1
43.6,650,316,4.3,0,0.254,1
57.1,635,292,4.1,0,0.179,1
44.8,825,265,0.4,0,0.207,1
45.4,770,362,5.6,0,0.279,1
48.2,682,187,9.9,0,0.136,1
59.9,474,197,8.3,1,0.115,0
44.5,639,259,1.4,1,0.204,0
82.6,850,190,11.9,0,0.081,1
35.3,650,316,2.5,0,0.313,1
50.9,764,182,17.6,0,0.125,1
45.3,793,285,0.4,1,0.22,0
86.8,689,249,4.0,0,0.1,1
59.3,598,284,5.5,1,0.168,0
77.7,463,209,1.7,0,0.094,1
22.3,728,223,8.9,0,0.35,1
60.9,601,271,5.9,0,0.156,1
74.6,685,282,0.1,0,0.132,1
56.8,564,260,5.6,0,0.16,1
78.4,647,448,4.1,1,0.2,0
43.6,673,151,1.3,0,0.121,1
86.0,693,253,32.8,0,0.103,1
105.6,575,87,13.6,0,0.029,1
47.0,772,301,2.1,0,0.224,1
45.2,619,137,4.7,1,0.106,0
87.0,528,229,2.3,0,0.092,1
89.8,661,219,9.0,0,0.085,1
43.5,673,291,16.0,0,0.234,1
45.8,684,199,2.7,0,0.152,1
48.8,786,195,9.8,0,0.14,1
25.4,650,418,4.1,0,0.576,0
34.8,660,291,3.0,0,0.293,1
32.9,576,198,16.7,0,0.211,1
38.1,740,232,4.3,0,0.213,1
54.2,686,441,3.8,0,0.285,1
60.2,634,234,6.7,0,0.136,1
89.1,508,184,1.8,0,0.072,1
33.0,793,185,2.4,0,0.196,1
76.7,566,200,16.1,1,0.091,0
50.3,620,195,6.8,0,0.136,1
53.9,700,119,10.5,0,0.077,1
69.8,568,136,1.9,0,0.068,1
30.3,543,169,4.7,0,0.195,0
63.4,489,325,21.3,0,0.179,1
58.7,731,218,2.3,0,0.13,1
65.8,624,237,1.0,0,0.126,1
61.4,850,400,4.3,0,0.228,1
109.0,585,402,2.9,0,0.129,1
41.0,592,229,1.0,0,0.195,1
43.3,622,191,13.2,1,0.154,0
41.3,691,165,28.1,0,0.14,1
42.8,630,336,5.0,0,0.275,1
41.0,722,237,8.9,0,0.202,1
81.2,587,217,11.8,0,0.094,1
86.3,553,170,7.2,0,0.069,1
42.4,517,175,0.3,0,0.144,0
36.7,481,295,1.0,0,0.281,0
65.4,626,115,0.4,0,0.062,1
42.9,644,369,0.1,0,0.301,1
68.9,616,201,2.2,0,0.102,1
59.5,776,244,3.0,1,0.144,0
21.7,774,113,1.7,1,0.182,0
89.0,642,259,0.4,0,0.102,1
94.5,518,224,4.5,0,0.083,1
41.5,622,254,1.9,0,0.214,1
46.5,619,422,9.5,0,0.318,1
61.3,614,280,0.0,0,0.16,1
62.4,611,173,11.1,0,0.097,1
69.5,614,182,18.6,0,0.092,1
99.2,637,325,7.6,0,0.115,1
51.1,616,403,7.9,0,0.276,1
37.4,688,291,16.3,0,0.272,1
24.7,701,336,1.4,0,0.476,1
38.9,593,327,31.3,0,0.294,1
54.3,778,416,8.9,0,0.268,1
94.5,587,46,7.8,0,0.017,1
43.6,532,333,2.7,0,0.267,0
59.9,702,368,4.7,1,0.215,0
54.6,601,113,6.4,0,0.072,1
81.1,697,163,5.8,1,0.07,0
110.6,466,166,7.3,0,0.053,1
43.3,788,180,0.5,0,0.145,1
44.2,727,207,2.6,0,0.164,1
78.0,542,287,3.4,0,0.129,1
70.0,544,355,1.8,0,0.178,1
95.6,812,379,1.1,0,0.139,1
67.8,607,168,0.9,1,0.087,0
47.1,599,167,2.7,0,0.124,1
68.0,477,405,4.1,0,0.208,1
79.4,640,331,0.4,0,0.146,1
73.1,651,269,17.6,0,0.129,1
66.2,731,312,8.7,0,0.165,1
78.5,551,257,7.9,0,0.115,1
80.7,541,318,1.1,0,0.138,1
85.4,708,223,5.6,0,0.091,1
69.3,756,290,4.5,0,0.146,1
51.3,536,94,24.3,0,0.064,1
58.2,762,184,8.3,0,0.111,1
81.5,673,186,5.1,1,0.08,0
37.0,763,219,11.4,0,0.207,1
63.1,664,158,1.0,0,0.088,1
46.3,456,201,0.1,0,0.152,0
55.6,657,93,7.0,0,0.059,1
83.1,760,320,0.6,0,0.135,1
59.2,594,251,0.7,0,0.148,1
56.0,637,72,8.2,0,0.045,1
25.1,655,168,1.9,0,0.234,1
71.4,424,297,5.9,0,0.146,1
69.2,812,200,15.0,0,0.101,1
102.6,593,183,2.3,0,0.062,1
48.2,713,252,1.5,0,0.183,1
59.8,663,298,0.7,0,0.174,1
60.5,777,102,0.8,0,0.059,1
89.7,705,321,0.4,0,0.125,1
52.9,650,172,0.6,1,0.114,0
61.1,594,258,3.4,0,0.148,1
68.4,738,256,2.3,1,0.131,0
59.1,511,202,7.4,0,0.12,1
45.2,725,147,12.3,0,0.114,1
59.3,577,229,9.2,0,0.135,1
78.6,776,439,4.5,0,0.195,1
32.4,684,110,0.6,0,0.119,1
57.9,725,446,7.4,0,0.27,1
39.6,677,231,2.7,0,0.204,1
81.3,521,264,0.5,0,0.114,1
21.5,597,140,11.1,0,0.228,1
42.7,727,175,2.5,0,0.143,1
63.3,684,205,1.5,0,0.113,1
89.4,770,145,12.3,0,0.057,1
53.6,704,237,13.9,0,0.155,1
42.8,588,215,2.5,1,0.176,0
96.4,602,464,2.6,0,0.168,1
23.1,679,132,5.2,0,0.2,1
15.0,473,271,7.9,1,0.632,0
64.7,812,287,0.4,0,0.155,1
44.0,708,142,5.4,0,0.113,1
32.5,774,336,18.3,0,0.362,1
70.6,536,216,1.8,0,0.107,1
60.4,776,40,14.4,0,0.023,1
42.6,850,333,18.0,0,0.274,1
26.8,558,137,1.9,0,0.179,0
74.2,736,145,8.4,0,0.068,1
69.3,670,336,1.6,0,0.17,1
52.8,539,222,8.0,0,0.147,1
95.6,712,361,9.6,0,0.132,1
31.5,741,393,1.7,0,0.437,1
21.4,619,189,7.5,0,0.309,1
39.8,769,347,10.0,0,0.305,1
54.0,528,177,2.7,0,0.115,1
60.4,543,506,1.1,0,0.293,1
49.7,682,184,0.6,0,0.13,1
62.7,672,373,5.1,0,0.208,1
27.5,609,353,22.9,0,0.449,1
86.8,739,295,10.4,1,0.119,0
53.2,715,186,3.4,0,0.122,1
79.6,743,243,4.6,1,0.107,0
62.5,660,40,2.0,0,0.022,1
65.0,721,285,1.1,1,0.153,0
67.5,632,298,3.9,0,0.155,1
64.8,845,275,3.7,1,0.149,0
69.1,601,40,4.4,0,0.02,1
84.2,849,121,18.3,1,0.05,1
59.3,673,178,5.6,0,0.105,1
70.6,553,292,5.6,0,0.145,1
53.0,786,292,0.8,0,0.193,1
86.7,681,241,33.9,0,0.097,1
40.1,742,330,8.9,0,0.288,1
94.6,774,147,12.6,1,0.054,0
54.1,699,327,3.2,0,0.212,1
23.5,620,312,4.2,0,0.465,0
57.8,753,302,4.4,0,0.183,1
40.0,670,240,1.3,0,0.21,1
73.5,728,461,7.0,0,0.22,1
40.6,487,314,14.0,1,0.271,0
45.2,708,153,1.1,0,0.118,1
15.0,616,287,0.5,0,0.67,0
45.0,811,343,8.0,0,0.267,1
15.0,723,195,1.9,0,0.455,1
20.2,690,380,5.9,0,0.658,0
71.7,711,302,7.1,0,0.147,1
72.3,585,40,2.3,0,0.019,1
64.4,808,293,10.1,0,0.159,1
33.7,839,215,4.8,0,0.223,1
54.0,703,319,12.2,0,0.207,1
54.9,805,364,8.6,1,0.232,0
29.5,622,281,12.2,0,0.333,1
88.1,602,443,0.1,0,0.176,1
74.3,673,240,1.7,0,0.113,1
50.1,707,329,0.6,0,0.23,1
55.6,637,349,3.5,0,0.22,1
59.6,716,249,13.2,0,0.146,1
15.0,696,346,3.8,0,0.807,0
49.6,585,195,11.4,0,0.138,1
40.0,714,214,2.4,0,0.187,1
33.0,743,116,2.5,0,0.123,1
48.8,685,287,13.6,0,0.206,1
94.5,768,296,3.3,0,0.11,1
69.1,567,390,9.4,0,0.198,1
42.4,710,347,1.6,0,0.286,1
67.6,571,229,17.8,1,0.119,0
85.8,575,130,5.1,0,0.053,1
75.3,616,308,8.5,0,0.143,1
56.3,590,382,0.6,1,0.237,0
40.8,623,343,4.1,0,0.294,1
70.4,652,379,13.9,0,0.188,1
63.7,741,237,12.6,0,0.13,1
74.7,643,209,0.3,0,0.098,1
69.0,535,179,2.2,1,0.091,0
78.1,767,254,3.5,0,0.114,1
43.2,599,251,1.1,1,0.203,0
84.0,665,283,7.9,0,0.118,1
59.3,708,246,1.2,0,0.145,1
100.7,687,245,2.6,0,0.085,1
39.8,763,175,6.5,1,0.154,0
93.2,711,364,3.9,0,0.137,1
59.4,597,268,8.0,0,0.158,1
40.7,850,241,19.5,0,0.207,1
44.4,687,178,0.7,0,0.14,1
48.0,657,113,7.4,0,0.082,1
64.3,752,404,1.6,0,0.22,1
66.5,691,321,3.2,1,0.169,0
42.4,704,81,0.2,0,0.067,1
54.5,850,344,0.9,0,0.221,1
102.1,647,361,2.3,0,0.124,1
93.0,643,274,2.5,0,0.103,1
64.6,680,436,13.8,0,0.236,1
55.8,761,284,8.1,1,0.178,0
57.6,542,104,21.5,0,0.063,1
68.5,503,300,5.5,0,0.153,1
32.5,620,287,1.7,0,0.309,1
49.3,531,194,2.4,0,0.138,1
18.3,634,323,2.3,0,0.618,0
63.8,713,77,2.4,0,0.042,1
69.2,594,369,6.7,0,0.187,1
44.4,549,163,4.5,0,0.128,1
89.6,676,152,2.9,0,0.059,1
28.0,743,247,1.0,0,0.309,1
22.8,526,308,0.1,1,0.473,0
59.9,740,278,1.5,0,0.162,1
78.0,739,178,0.7,0,0.08,1
92.0,751,204,9.2,0,0.078,1
44.9,774,135,0.7,0,0.105,1
78.7,850,235,7.7,0,0.105,1
54.2,640,378,2.9,1,0.244,0
51.2,679,260,0.5,0,0.178,1
74.4,635,355,10.1,0,0.167,1
69.4,670,420,5.2,0,0.212,1
20.3,800,195,1.6,0,0.336,1
87.5,556,239,13.5,0,0.096,1
85.4,597,499,0.3,0,0.205,1
41.2,787,419,1.4,1,0.356,0
63.7,757,76,8.4,0,0.042,1
65.9,639,303,7.4,0,0.161,1
60.7,743,260,2.0,0,0.15,1
42.9,699,351,0.4,0,0.286,1
40.2,798,178,11.7,0,0.155,1
54.4,676,168,2.3,0,0.108,1
80.8,757,186,1.3,0,0.081,1
67.0,850,197,4.4,0,0.103,1
46.8,721,350,14.5,0,0.262,1
72.0,674,130,0.3,0,0.063,1
15.0,731,192,8.7,0,0.448,1
80.3,639,63,5.1,0,0.027,1
16.7,850,371,3.3,0,0.778,1
47.0,685,400,8.2,1,0.298,0
30.4,647,224,20.3,0,0.258,1
26.5,599,227,1.6,1,0.3,0
80.5,763,310,0.9,0,0.135,1
44.7,744,422,14.6,0,0.33,1
62.6,628,305,6.6,0,0.171,1
54.0,719,183,3.5,0,0.119,1
65.5,542,82,5.1,0,0.044,1
56.7,686,137,8.2,0,0.085,1
26.8,708,268,8.9,0,0.35,1
76.9,815,188,15.1,0,0.086,1
44.1,604,281,3.3,0,0.223,1
20.8,561,199,2.1,0,0.335,0
45.6,594,144,6.1,1,0.111,0
88.0,556,131,3.2,0,0.052,1
73.7,784,432,5.4,0,0.205,1
47.3,802,358,3.3,0,0.265,1
47.3,697,450,1.0,0,0.333,1
47.9,774,319,3.8,1,0.233,0
100.7,681,213,7.0,0,0.074,1
63.4,662,406,9.6,0,0.224,1
64.5,642,256,4.1,0,0.139,1
77.7,644,284,1.1,1,0.128,0
60.3,538,255,3.2,0,0.148,1
49.3,692,40,9.3,0,0.028,1
50.7,667,437,3.2,0,0.302,1
53.4,733,314,7.2,1,0.206,0
54.2,678,296,4.2,1,0.191,0
71.0,656,253,1.7,0,0.125,1
56.1,596,278,9.5,0,0.173,1
71.1,676,194,0.5,0,0.095,1
53.2,733,328,4.5,0,0.216,1
56.7,573,116,1.4,0,0.072,1
15.0,677,280,0.4,0,0.653,0
75.2,690,322,4.2,0,0.15,1
62.6,609,238,4.2,0,0.133,1
77.0,620,301,7.4,0,0.137,1
15.0,690,151,8.2,1,0.352,0
100.9,574,154,7.8,0,0.053,1
51.9,700,286,3.2,0,0.193,1
79.4,594,335,6.0,0,0.148,1
32.1,760,54,5.2,0,0.059,1
68.5,850,317,3.3,0,0.162,1
31.8,597,200,5.5,1,0.22,0
41.3,715,239,17.7,0,0.203,1
97.1,608,113,1.3,0,0.041,1
50.8,758,166,14.2,0,0.114,1
59.8,562,366,0.3,1,0.214,0
74.1,711,264,2.2,0,0.125,1
65.9,596,218,2.0,0,0.116,1
58.3,652,247,5.9,0,0.148,1
63.0,582,314,0.8,1,0.174,0
107.9,740,308,12.8,0,0.1,1
53.7,599,252,10.6,0,0.164,1
59.4,717,380,6.3,1,0.224,0
78.1,641,367,3.7,0,0.164,1
79.3,660,305,16.2,0,0.135,1
81.1,683,266,10.7,0,0.115,1
69.1,605,332,4.2,0,0.168,1
29.9,688,295,7.3,0,0.345,1
90.9,800,377,5.0,0,0.145,1
29.8,604,359,5.3,0,0.422,0
61.7,770,148,2.4,0,0.084,1
38.4,797,141,3.7,0,0.129,1
53.6,601,183,0.5,0,0.119,1
62.2,546,367,2.7,0,0.207,1
62.1,696,87,7.1,0,0.049,1
64.3,623,303,18.4,0,0.165,1
90.5,829,300,19.8,1,0.116,1
65.0,673,388,4.9,0,0.209,1
49.6,602,280,5.6,0,0.198,1
76.2,572,112,1.2,1,0.051,0
81.2,763,154,7.1,1,0.066,0
28.0,621,130,0.4,0,0.163,1
68.1,674,201,2.0,0,0.103,1
70.4,751,240,6.6,0,0.119,1
48.5,629,132,2.2,0,0.095,1
85.3,666,422,0.3,1,0.173,0
51.7,669,114,10.7,0,0.077,1
57.8,728,408,2.2,0,0.247,1
51.2,720,390,0.4,0,0.267,1
55.3,651,359,0.5,0,0.227,1
30.9,675,184,1.7,0,0.208,1
23.3,638,298,1.2,1,0.448,0
90.1,544,119,8.9,0,0.046,1
36.4,692,360,2.3,0,0.346,1
33.2,831,252,9.8,0,0.266,1
15.0,595,215,1.1,0,0.502,0
40.9,604,125,4.1,0,0.107,1
25.9,596,40,7.0,0,0.054,1
91.1,732,146,6.3,0,0.056,1
77.2,708,382,5.5,0,0.173,1
39.9,657,216,15.5,0,0.189,1
104.6,592,241,1.6,1,0.081,0
76.6,678,332,4.1,0,0.152,1
47.9,537,459,12.9,0,0.335,1
15.0,682,406,0.5,0,0.947,0
105.4,744,153,0.3,0,0.051,1
24.4,564,46,1.6,0,0.066,0
18.8,540,520,6.0,1,0.968,0
77.5,804,510,1.8,0,0.23,1
108.7,618,281,1.3,1,0.09,0
85.5,767,120,3.7,0,0.049,1
67.4,657,366,5.7,0,0.19,1
68.1,656,248,1.7,1,0.127,0
73.8,707,248,2.1,0,0.118,1
71.7,595,358,5.7,0,0.175,1
61.2,681,297,17.5,0,0.17,1
57.3,638,130,6.7,0,0.079,1
53.6,558,224,9.2,0,0.146,1
38.4,699,333,2.7,0,0.304,1
48.8,648,316,1.9,0,0.227,1
17.8,657,289,3.6,0,0.568,0
52.8,567,363,9.9,0,0.241,1
33.3,805,220,3.7,1,0.231,0
30.7,745,280,11.3,0,0.319,1
59.0,752,40,26.9,0,0.024,1
85.6,644,211,0.4,0,0.086,1
75.2,523,344,0.3,0,0.16,1
20.4,836,217,1.0,0,0.372,1
33.2,665,209,2.9,0,0.22,1
75.7,606,145,0.8,1,0.067,0
33.4,705,370,12.3,1,0.388,0
50.1,769,320,0.1,0,0.224,1
67.1,668,351,2.3,0,0.183,1
33.7,779,70,1.2,0,0.073,1
57.3,762,242,16.1,0,0.148,1
25.7,579,229,6.6,0,0.312,0
41.8,613,229,14.6,0,0.192,1
62.0,751,192,21.5,0,0.108,1
20.0,439,222,4.1,0,0.388,0
64.7,657,353,1.6,0,0.191,1
54.6,548,50,1.3,0,0.032,1
67.2,629,456,1.5,0,0.238,1
59.9,645,313,7.4,0,0.183,1
85.0,640,255,0.2,0,0.105,1
57.8,623,360,0.3,1,0.218,0
45.6,577,100,5.6,1,0.077,0
57.7,850,187,6.2,0,0.113,1
67.0,829,247,6.6,0,0.129,1
56.1,571,410,2.8,0,0.256,1
55.9,804,255,9.8,0,0.16,1
39.6,636,310,4.6,0,0.274,1
40.4,681,195,0.7,0,0.169,1
24.1,665,314,9.6,0,0.456,1
93.5,614,444,18.4,0,0.166,1
27.6,754,370,0.4,0,0.469,1
39.8,681,251,3.0,0,0.221,1
39.2,629,334,4.0,0,0.298,1
74.7,559,324,1.0,0,0.152,1
48.5,594,316,12.1,0,0.228,1
82.5,530,382,2.0,0,0.162,1
40.2,671,381,9.2,0,0.332,1
61.1,568,246,6.7,0,0.141,1
36.6,647,331,5.5,0,0.317,1
102.2,786,218,1.3,0,0.075,1
28.9,772,158,1.5,0,0.191,1
61.8,667,230,0.3,0,0.13,1
68.9,663,252,1.7,0,0.128,1
64.1,830,77,2.5,0,0.042,1
50.9,714,355,10.7,0,0.244,1
52.1,642,40,2.7,0,0.027,1
56.0,549,559,8.4,0,0.349,1
51.8,703,425,3.5,0,0.287,1
76.2,740,231,9.2,0,0.106,1
103.6,616,261,22.4,0,0.088,1
42.7,695,293,1.6,1,0.24,0
24.9,639,195,11.9,1,0.274,0
53.1,654,281,5.8,0,0.185,1
111.8,459,244,10.2,0,0.076,1
37.3,651,250,6.3,0,0.235,1
91.1,752,280,3.3,1,0.108,0
91.9,616,116,1.6,0,0.044,1
42.8,674,264,0.4,0,0.216,1
67.5,606,278,4.6,0,0.144,1
90.8,701,274,27.8,0,0.106,1
46.7,652,236,8.0,0,0.177,1
50.5,590,385,2.4,0,0.267,1
42.2,783,221,10.5,0,0.183,1
32.7,749,285,8.8,0,0.305,1
40.7,619,403,2.0,1,0.347,0
28.1,712,251,0.1,0,0.313,1
55.7,716,284,0.8,0,0.178,1
38.1,725,249,12.6,0,0.229,1
60.1,526,396,10.9,0,0.231,1
20.8,756,232,2.1,0,0.39,1
62.3,622,401,2.0,0,0.225,1
73.3,640,249,9.4,1,0.119,0
15.0,850,165,16.7,0,0.385,1
63.2,696,335,9.1,0,0.186,1
82.0,637,226,5.6,0,0.096,1
28.4,483,328,1.7,0,0.404,0
91.8,788,40,4.5,0,0.015,1
64.2,556,261,1.6,0,0.142,1
39.5,585,209,9.9,0,0.185,1
53.8,642,143,2.9,0,0.093,1
67.3,790,199,10.8,0,0.103,1
56.7,736,197,2.9,1,0.122,0
66.9,657,255,10.4,0,0.133,1
34.7,696,110,2.4,0,0.111,1
58.7,619,295,3.5,0,0.176,1
23.9,682,410,5.7,1,0.6,0
52.6,676,291,0.4,0,0.194,1
35.1,752,349,17.8,0,0.348,1
38.8,752,380,5.1,0,0.343,1
82.2,712,396,4.3,0,0.169,1
79.0,639,466,11.0,0,0.206,1
68.4,733,205,12.0,0,0.105,1
31.0,662,181,4.4,0,0.204,1
48.0,578,346,15.7,0,0.252,1
81.7,636,338,0.4,0,0.145,1
58.1,677,345,0.7,0,0.208,1
106.0,747,468,5.4,0,0.155,1
63.7,654,261,2.6,0,0.143,1
59.2,567,307,3.7,0,0.182,1
48.2,675,152,2.4,0,0.11,1
57.9,680,495,3.1,0,0.299,1
51.6,686,223,10.4,0,0.151,1
70.6,748,226,5.4,0,0.112,1
76.0,757,222,35.0,0,0.102,1
37.7,619,189,9.3,0,0.175,1
25.7,618,180,1.9,1,0.245,0
15.0,582,202,1.8,0,0.471,0
66.2,729,110,2.5,0,0.058,1
30.7,793,174,11.1,0,0.198,1
15.0,643,474,0.2,0,1.106,0
63.5,649,341,1.6,0,0.188,1
109.8,795,362,14.1,0,0.115,1
54.9,713,389,6.1,0,0.248,1
73.4,707,462,1.5,0,0.22,1
56.8,569,65,1.5,0,0.04,1
52.8,728,125,11.9,0,0.083,1
75.2,591,172,13.5,0,0.08,1
48.6,574,208,1.8,0,0.15,1
60.9,641,227,3.3,0,0.13,1
62.1,620,211,10.8,0,0.119,1
40.3,651,284,8.8,0,0.247,1
76.8,548,264,10.1,0,0.12,1
51.2,751,180,4.4,0,0.123,1
38.4,766,40,14.6,0,0.036,1
66.8,504,151,2.4,0,0.079,1
35.2,753,200,1.0,0,0.199,1
55.6,601,233,7.4,0,0.147,1
54.8,743,136,4.7,0,0.087,1
78.9,664,206,11.6,0,0.091,1
65.4,672,136,0.5,0,0.073,1
54.4,654,246,11.1,0,0.158,1
73.0,773,142,2.1,0,0.068,1
85.6,565,167,6.4,1,0.068,0
67.3,722,116,0.2,0,0.06,1
55.2,764,243,5.6,0,0.154,1
26.1,731,165,7.6,0,0.221,1
31.6,850,360,2.8,0,0.399,1
48.3,625,305,1.5,0,0.221,1
41.6,751,252,4.6,0,0.212,1
50.9,661,172,10.7,0,0.118,1
56.2,775,302,2.3,0,0.188,1
66.7,669,336,1.7,0,0.176,1
53.4,637,276,2.0,0,0.181,1
65.7,781,436,17.9,1,0.232,0
56.4,628,311,2.7,0,0.193,1
15.0,550,360,0.0,0,0.84,0
34.3,626,275,9.1,0,0.281,1
51.8,723,334,7.2,0,0.226,1
28.4,788,172,0.8,0,0.212,1
68.2,679,210,25.2,0,0.108,1
88.7,782,298,5.6,0,0.118,1
81.8,555,298,4.2,0,0.128,1
50.3,632,316,2.9,0,0.22,1
87.8,645,381,13.7,0,0.152,1
58.3,660,103,1.7,0,0.062,1
47.6,677,153,2.0,0,0.112,1
41.5,729,285,0.8,0,0.24,1
48.3,632,180,8.5,0,0.13,1
46.5,682,632,5.4,0,0.476,1
58.7,666,317,5.6,0,0.189,1
58.5,591,251,1.5,0,0.15,1
55.1,660,203,6.3,0,0.129,1
64.6,658,207,8.7,0,0.112,1
81.2,656,263,2.7,1,0.113,0
75.9,673,272,9.7,0,0.125,1
22.3,676,210,2.6,0,0.33,1
15.0,633,230,8.5,0,0.537,0
75.6,778,408,0.2,0,0.189,1
24.9,571,412,4.8,0,0.579,0
50.1,609,288,20.9,1,0.201,0
29.3,850,112,23.9,0,0.134,1
15.4,582,319,2.0,0,0.725,0
66.9,555,431,3.5,0,0.225,1
71.7,732,411,0.4,0,0.201,1
42.3,493,341,12.4,0,0.282,1
15.0,650,416,5.0,0,0.971,0
43.0,850,266,2.9,0,0.217,1
63.6,539,329,0.7,0,0.181,1
22.5,502,185,17.6,0,0.288,0
59.0,543,292,4.5,0,0.173,1
54.7,746,406,2.0,0,0.26,1
67.7,766,195,2.6,1,0.101,0
57.6,626,165,1.9,0,0.1,1
33.6,728,271,5.5,0,0.282,1
81.3,788,235,16.0,0,0.101,1
51.5,822,331,11.7,0,0.225,1
54.4,649,210,3.7,0,0.135,1
34.5,474,449,10.5,0,0.456,0
45.2,600,118,3.3,0,0.091,1
35.5,634,398,1.7,0,0.392,1
51.2,648,176,24.6,0,0.12,1
92.7,654,62,2.2,0,0.023,1
24.8,765,286,2.3,0,0.404,1
19.5,778,232,27.4,0,0.416,1
87.4,655,138,0.9,0,0.055,1
50.4,763,75,8.6,0,0.052,1
40.3,700,259,16.5,1,0.225,0
77.9,675,367,4.3,0,0.165,1
41.7,747,324,0.0,0,0.272,1
95.2,676,266,2.8,0,0.098,1
69.9,845,313,0.7,0,0.157,1
44.3,548,257,3.2,0,0.203,1
102.5,626,103,9.4,0,0.035,1
41.7,659,104,3.5,0,0.087,1
71.3,707,238,3.4,0,0.117,1
61.6,778,242,4.9,1,0.138,0
83.6,668,354,5.2,0,0.148,1
89.4,549,343,11.6,0,0.134,1
55.7,742,327,2.2,0,0.205,1
38.4,734,229,10.3,0,0.209,1
65.1,505,108,5.0,0,0.058,1
40.1,670,305,2.1,0,0.266,1
99.3,535,318,2.1,0,0.112,1
58.0,614,40,2.7,0,0.024,1
47.0,593,168,5.8,0,0.125,1
59.1,739,184,1.6,0,0.109,1
25.4,680,273,15.2,0,0.376,1
33.6,561,172,5.1,0,0.179,1
81.4,745,256,15.2,0,0.11,1
40.5,548,237,0.3,0,0.205,0
32.0,698,242,2.5,0,0.265,1
